industry_url,job_title_url,job_title,wage,wage_base,experience_level,percentage_change,salaries,salary_values,respondents,job_rating,job_rating_round,genders,gender_values,gender_respondents
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Title_Examiner%2C_Abstractor%2C_or_Searcher/Salary,"Average Title Examiner, Abstractor, or Searcher Hourly Pay",$22.11,/ hour,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼43%', '▼20%', '▼6%', '▲10%', '▲6%']","['Hourly Rate', 'Bonus', 'Total Pay']","['$15 - $30', '$659 - $6k', '$34k - $73k']",Based on 97 salary profiles (last updated Oct 30 2023),3.9 out of 5,(15),"['Female', 'Male', 'Prefer to self-define']","['78.6%', '19.0%', '2.4%']",This data is based on 42 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Senior_Legal_Assistant/Salary,Average Senior Legal Assistant Hourly Pay,$24.74,/ hour,"['Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼19%', '▼10%', '▼2%', '▲22%']","['Hourly Rate', 'Bonus', 'Total Pay']","['$18 - $43', '$298 - $5k', '$40k - $92k']",Based on 77 salary profiles (last updated Aug 01 2023),4 out of 5,(15),"['Female', 'Male']","['89.6%', '10.4%']",This data is based on 48 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Assistant_District_Attorney/Salary,Average Assistant District Attorney Salary,"$76,774",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼25%', '▼8%', '▲5%', '▲10%', '▼7%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$56k - $108k', '$986 - $6k', '$0 - $384', '$55k - $108k']",Based on 92 salary profiles (last updated Jul 13 2023),4 out of 5,(5),"['Male', 'Female']","['63.2%', '36.8%']",This data is based on 19 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Estate_Planning_Attorney/Salary,Average Estate Planning Attorney Salary,"$91,674",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼33%', '▼10%', '▲32%', '▲41%', '▲12%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$56k - $158k', '$1k - $44k', '$5k - $8k', '$0 - $7k', '$59k - $180k']",Based on 81 salary profiles (last updated Oct 31 2023),,(3),"['Female', 'Male']","['69.6%', '30.4%']",This data is based on 23 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Ombudsman/Salary,Average Ombudsman Salary,"$64,820",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼21%', '▼13%', '▲7%', '▲14%', '▲23%']","['Base Salary', 'Bonus', 'Total Pay']","['$40k - $114k', '$0 - $3k', '$38k - $109k']",Based on 84 salary profiles (last updated Nov 07 2023),4.4 out of 5,(8),"['Female', 'Male', 'Prefer to self-define']","['80.8%', '15.4%', '3.8%']",This data is based on 26 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Title_Abstractor/Salary,Average Title Abstractor Salary,"$40,682",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼23%', '▼16%', '▼0%', '▲1%', '▲28%']","['Base Salary', 'Bonus', 'Total Pay']","['$27k - $61k', '$253 - $8k', '$26k - $53k']",Based on 85 salary profiles (last updated Nov 17 2023),4.5 out of 5,(8),"['Female', 'Male']","['74.1%', '25.9%']",This data is based on 27 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Trial_Lawyer/Salary,Average Trial Lawyer Salary,"$107,007",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼34%', '▼9%', '▼13%', '▲5%', '▲47%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$64k - $229k', '$2k - $51k', '$2k - $110k', '$0 - $9k', '$70k - $331k']",Based on 86 salary profiles (last updated May 16 2023),4 out of 5,(6),"['Male', 'Female']","['82.4%', '17.6%']",This data is based on 17 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Intellectual_Property_(IP)_Attorney/Salary,Average Intellectual Property (IP) Attorney Salary,"$146,911",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼34%', '▼30%', '▲12%', '▲9%', '▲21%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$78k - $192k', '$2k - $40k', '$25 - $58k', '$83k - $221k']",Based on 72 salary profiles (last updated Jul 10 2023),3.6 out of 5,(7),"['Female', 'Male']","['50.0%', '50.0%']",This data is based on 22 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Managing_Partner%2C_Law_Firm/Salary,"Average Managing Partner, Law Firm Salary","$200,791",/ year,"['Mid Career', 'Late Career', 'Experienced']","['▼26%', '▼7%', '▲11%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$110k - $391k', '$10k - $350k', '$2k - $495k', '$122k - $700k']",Based on 78 salary profiles (last updated Sep 18 2023),3.5 out of 5,(6),"['Male', 'Female']","['57.9%', '42.1%']",This data is based on 19 survey responses. Learn more about the gender pay gap.
https://www.payscale.com/research/US/Job/Legal,https://www.payscale.com/research/US/Job=Prosecutor/Salary,Average Prosecutor Salary,"$72,582",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼15%', '▼7%', '▲4%', '▲30%', '▲43%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Total Pay']","['$51k - $118k', '$30 - $99k', '$98 - $37k', '$51k - $136k']",Based on 79 salary profiles (last updated Aug 06 2023),,(4),"['Female', 'Male', 'Prefer to self-define']","['47.1%', '41.2%', '11.8%']",This data is based on 17 survey responses. Learn more about the gender pay gap.
