name,displayName,url,profileCount,range,isEstimated
Presentations,,/research/US/Job=Analytics_Manager/Salary/911e7e51/Presentations,6,{'50': 95000},
Strategic Project Management,,/research/US/Job=Analytics_Manager/Salary/569fa7ab/Strategic-Project-Management,6,{'50': 92850},
Leadership,,/research/US/Job=Analytics_Manager/Salary/2a2e36cc/Leadership,6,{'50': 116394.85},
Implementation Analysis,,/research/US/Job=Analytics_Manager/Salary/ddb9a617/Implementation-Analysis,6,{'50': 100000},
Market Research,,/research/US/Job=Analytics_Manager/Salary/ca838226/Market-Research,6,{'50': 100475.96},
Microsoft Office,,/research/US/Job=Analytics_Manager/Salary/4975e8d1/Microsoft-Office,6,{'50': 75800},
Healthcare Effectiveness Data and Information Set (HEDIS),,/research/US/Job=Analytics_Manager/Salary/f1557b19/Healthcare-Effectiveness-Data-and-Information-Set-HEDIS,5,{'50': 87500},
Geographic Information Systems (GIS),,/research/US/Job=Analytics_Manager/Salary/20419bee/Geographic-Information-Systems-GIS,5,{'50': 104000},
Budgeting,,/research/US/Job=Analytics_Manager/Salary/41783761/Budgeting,5,{'50': 81951.22},
Email Marketing,,/research/US/Job=Analytics_Manager/Salary/f830582b/Email-Marketing,5,{'50': 93098.99},
Strategic Sales,,/research/US/Job=Analytics_Manager/Salary/47d7b232/Strategic-Sales,5,{'50': 109000},
Strategy Development,,/research/US/Job=Analytics_Manager/Salary/58740db8/Strategy-Development,5,{'50': 82000},
Team Leadership,,/research/US/Job=Analytics_Manager/Salary/c0ad24c3/Team-Leadership,5,{'50': 119733.52},
VBA,,/research/US/Job=Analytics_Manager/Salary/9f0758b3/VBA,5,{'50': 83167.41},
Visualization,,/research/US/Job=Analytics_Manager/Salary/04dc8cc6/Visualization,5,{'50': 95000},
Product Development,,/research/US/Job=Analytics_Manager/Salary/97fb58ec/Product-Development,5,{'50': 71215.54},
Search Engine Optimization (SEO),,/research/US/Job=Analytics_Manager/Salary/6068875d/Search-Engine-Optimization-SEO,5,{'50': 81000},
Apache Hadoop,,/research/US/Job=Analytics_Manager/Salary/683ab5f4/Apache-Hadoop,4,{'50': 112500},
Android Software Development Kit (SDK),,/research/US/Job=Android_Software_Developer/Salary/fe0fa28b/Android-Software-Development-Kit-SDK,360,{'50': 97261.88},
Kotlin Programming Language,,/research/US/Job=Android_Software_Developer/Salary/827c22f7/Kotlin-Programming-Language,277,{'50': 100676.74},
Java,,/research/US/Job=Android_Software_Developer/Salary/b6a34f2f/Java,259,{'50': 97620.61},
Mobile applications development,,/research/US/Job=Android_Software_Developer/Salary/df8ddfdf/Mobile-applications-development,213,{'50': 98117.25},
RESTful Web Services,,/research/US/Job=Android_Software_Developer/Salary/566305f7/RESTful-Web-Services,97,{'50': 88538.42},
Android Operating System Development,,/research/US/Job=Android_Software_Developer/Salary/c031d54d/Android-Operating-System-Development,39,{'50': 101178.4},
C++ Programming Language,,/research/US/Job=Android_Software_Developer/Salary/326e5071/C%2B%2B-Programming-Language,29,{'50': 93000},
SQLite,,/research/US/Job=Android_Software_Developer/Salary/f31c54bb/SQLite,24,{'50': 75000},
C# Programming Language,,/research/US/Job=Android_Software_Developer/Salary/1df3bf99/C%23-Programming-Language,23,{'50': 73986.49},
.NET,,/research/US/Job=Android_Software_Developer/Salary/2fd9e181/.NET,22,{'50': 85635.17},
eXtensible Markup Language (XML),,/research/US/Job=Android_Software_Developer/Salary/0e057da7/eXtensible-Markup-Language-XML,21,{'50': 78886.08},
Object Oriented Programming (OOP),,/research/US/Job=Android_Software_Developer/Salary/2e556a08/Object-Oriented-Programming-OOP,15,{'50': 80987.65},
Agile Software Development,,/research/US/Job=Android_Software_Developer/Salary/0a0d45a1/Agile-Software-Development,13,{'50': 100000},
ASP.NET Framework,,/research/US/Job=Android_Software_Developer/Salary/308250d0/ASP.NET-Framework,10,{'50': 75701.74},
Software Development,,/research/US/Job=Android_Software_Developer/Salary/188c948d/Software-Development,10,{'50': 81447.99},
SQL,,/research/US/Job=Android_Software_Developer/Salary/15e66641/SQL,8,{'50': 80000},
Software Architecture,,/research/US/Job=Android_Software_Developer/Salary/413cb773/Software-Architecture,8,{'50': 108500},
JSON,,/research/US/Job=Android_Software_Developer/Salary/e098e0dd/JSON,8,{'50': 68467.15},
Git,,/research/US/Job=Android_Software_Developer/Salary/9b4aab23/Git,6,{'50': None},
iOS,,/research/US/Job=Android_Software_Developer/Salary/6c28b1e7/iOS,6,{'50': 82500},
Objective-C,,/research/US/Job=Android_Software_Developer/Salary/f5835f7e/Objective-C,5,{'50': 66000},
REST,,/research/US/Job=Android_Software_Developer/Salary/2d28b379/REST,5,{'50': 82722.96},
Swift Programming Language,,/research/US/Job=Android_Software_Developer/Salary/3f15489d/Swift-Programming-Language,5,{'50': 123600},
Android Software Development Kit (SDK),,/research/US/Job=Android_Software_Engineer/Salary/f9a926ee/Android-Software-Development-Kit-SDK,69,{'50': 96655.74},
Kotlin Programming Language,,/research/US/Job=Android_Software_Engineer/Salary/7640356c/Kotlin-Programming-Language,69,{'50': 108357.45},
Mobile applications development,,/research/US/Job=Android_Software_Engineer/Salary/b014b256/Mobile-applications-development,61,{'50': 110874.05},
Java,,/research/US/Job=Android_Software_Engineer/Salary/ce63d391/Java,45,{'50': 94756.17},
Android Operating System Development,,/research/US/Job=Android_Software_Engineer/Salary/1d36642f/Android-Operating-System-Development,33,{'50': 96476.68},
Agile Software Development,,/research/US/Job=Android_Software_Engineer/Salary/e71beefb/Agile-Software-Development,9,{'50': 90000},
iOS,,/research/US/Job=Android_Software_Engineer/Salary/a6838d4d/iOS,9,{'50': 152012.23},
RESTful Web Services,,/research/US/Job=Android_Software_Engineer/Salary/83f9061a/RESTful-Web-Services,8,{'50': 90606.86},
C++ Programming Language,,/research/US/Job=Android_Software_Engineer/Salary/c32d894a/C%2B%2B-Programming-Language,5,{'50': 110000},
Software Architecture,,/research/US/Job=Application_Architect/Salary/b93380df/Software-Architecture,161,{'50': 127138.13},
Software Development,,/research/US/Job=Application_Architect/Salary/ab107818/Software-Development,83,{'50': 124486.07},
SQL,,/research/US/Job=Application_Architect/Salary/65239c7c/SQL,67,{'50': 115434.75},
Enterprise Application Integration,,/research/US/Job=Application_Architect/Salary/b565bff9/Enterprise-Application-Integration,62,{'50': 128108.58},
.NET,,/research/US/Job=Application_Architect/Salary/51016671/.NET,46,{'50': 121727.15},
Cloud Computing,,/research/US/Job=Application_Architect/Salary/6c933d6a/Cloud-Computing,27,{'50': 139020.22},
C# Programming Language,,/research/US/Job=Application_Architect/Salary/52ae19d4/C%23-Programming-Language,25,{'50': 117378.13},
Java/J2EE,,/research/US/Job=Application_Architect/Salary/71351f57/Java-J2EE,23,{'50': 129146.15},
Service Oriented Architecture (SOA),,/research/US/Job=Application_Architect/Salary/9aa8e000/Service-Oriented-Architecture-SOA,11,{'50': 121225},
Java,,/research/US/Job=Application_Architect/Salary/c8b6fa35/Java,10,{'50': 119010.48},
JavaScript,,/research/US/Job=Application_Architect/Salary/21eec4ef/JavaScript,10,{'50': 136771.12},
Agile Software Development,,/research/US/Job=Application_Architect/Salary/73773ba8/Agile-Software-Development,8,{'50': 121448.56},
Amazon Web Services (AWS),,/research/US/Job=Application_Architect/Salary/82ba922c/Amazon-Web-Services-AWS,8,{'50': 107290.23},
Angular.js,,/research/US/Job=Application_Architect/Salary/14056c32/Angular.js,7,{'50': 102341.79},
Microsoft Azure,,/research/US/Job=Application_Architect/Salary/5bb229e3/Microsoft-Azure,6,{'50': 108133.93},
Microsoft SQL Server,,/research/US/Job=Application_Architect/Salary/0b9ca1fb/Microsoft-SQL-Server,6,{'50': 108244.8},
Model-view-controller (MVC),,/research/US/Job=Application_Architect/Salary/fc57d9f7/Model-view-controller-MVC,5,{'50': 106823.31},
RESTful Web Services,,/research/US/Job=Application_Architect/Salary/5d9c9efc/RESTful-Web-Services,5,{'50': 130000},
Data Warehouse,,/research/US/Job=Application_Architect/Salary/d4146738/Data-Warehouse,5,{'50': 124775.11},
Web Development,,/research/US/Job=Application_Architect/Salary/9956da4f/Web-Development,5,{'50': 95864.68},
ASP.NET Framework,,/research/US/Job=Application_Architect/Salary/de70b6eb/ASP.NET-Framework,5,{'50': 107441.86},
Windows Communication Foundation (WCF),,/research/US/Job=Application_Architect/Salary/11cc2900/Windows-Communication-Foundation-WCF,3,{'50': 104963.73},
SQL,,/research/US/Job=Application_Developer/Salary/ed0d0e7b/SQL,1132,{'50': 75088.15},
C# Programming Language,,/research/US/Job=Application_Developer/Salary/7bf2667c/C%23-Programming-Language,805,{'50': 74137.32},
JavaScript,,/research/US/Job=Application_Developer/Salary/106c85e8/JavaScript,776,{'50': 72843.69},
.NET,,/research/US/Job=Application_Developer/Salary/921900ba/.NET,550,{'50': 74272.72},
Java,,/research/US/Job=Application_Developer/Salary/6ee85663/Java,472,{'50': 74393.73},
Microsoft SQL Server,,/research/US/Job=Application_Developer/Salary/f883c48d/Microsoft-SQL-Server,334,{'50': 77063.04},
Python,,/research/US/Job=Application_Developer/Salary/ca7a4cfe/Python,210,{'50': 75981.24},
Java/J2EE,,/research/US/Job=Application_Developer/Salary/6cdfc1d7/Java-J2EE,167,{'50': 71142.33},
React.js,,/research/US/Job=Application_Developer/Salary/0da1072d/React.js,143,{'50': 77200.22},
VB.Net,,/research/US/Job=Application_Developer/Salary/dbae98fb/VB.Net,133,{'50': 63695.47},
