name,displayName,url,profileCount,range,isEstimated
"United Parcel Service (UPS), Inc.",,/research/US/Job=Application_Developer/Salary/31fa7165/United-Parcel-Service-UPS-Inc.,5,{'50': 67008.34},
University of Denver,,/research/US/Job=Application_Developer/Salary/1d8bd54a/University-of-Denver,5,{'50': 78845.77},
Sabra Dipping Company,,/research/US/Job=Application_Developer/Salary/2bbf6ff6/Sabra-Dipping-Company,5,{'50': 74516.33},
"Qvc, Inc.",,/research/US/Job=Application_Developer/Salary/d27de23b/Qvc-Inc.,5,{'50': 61041.89},
Progressive Casualty Insurance Company,,/research/US/Job=Application_Developer/Salary/64da9a5c/Progressive-Casualty-Insurance-Company,5,{'50': 68589.9},
The Gallup Organization,,/research/US/Job=Application_Developer/Salary/95e3d71e/The-Gallup-Organization,5,{'50': 74665.7},
Valley Health Systems,,/research/US/Job=Application_Developer/Salary/dfefd4df/Valley-Health-Systems,5,{'50': 112444.44},
Massachusetts Institute of Technology (MIT),,/research/US/Job=Application_Developer/Salary/692f44b2/Massachusetts-Institute-of-Technology-MIT,5,{'50': 69614.16},
Florida Association of Realtors,,/research/US/Job=Application_Developer/Salary/4ed53d1a/Florida-Association-of-Realtors,5,{'50': 56500},
Flexitallic,,/research/US/Job=Application_Developer/Salary/8a0e3b05/Flexitallic,5,{'50': 87312.1},
"Workday, Inc.",,/research/US/Job=Application_Developer/Salary/49f5645b/Workday-Inc.,5,{'50': 101737.99},
"Vmware, Inc.",,/research/US/Job=Application_Developer/Hourly_Rate/b676761d/Vmware-Inc.,5,{'50': None},
Vanderbilt Medical Center,,/research/US/Job=Application_Developer/Salary/2d470970/Vanderbilt-Medical-Center,5,{'50': 73206.28},
USF Holland Inc,,/research/US/Job=Application_Developer/Salary/f8389830/USF-Holland-Inc,5,{'50': 63601.38},
International Paper Co,,/research/US/Job=Application_Developer/Salary/46ace6ee/International-Paper-Co,5,{'50': 61033.07},
Independent Health,,/research/US/Job=Application_Developer/Salary/3bf2b353/Independent-Health,5,{'50': 75394.51},
State Street Corporation,,/research/US/Job=Application_Developer/Salary/adb8c2e8/State-Street-Corporation,4,{'50': 91299.44},
Georgia Institute of Technology,,/research/US/Job=Application_Developer/Salary/3a4e184e/Georgia-Institute-of-Technology,4,{'50': 50565.18},
"HCA, Inc.",,/research/US/Job=Application_Developer/Salary/b988475e/HCA-Inc.,4,{'50': 65500},
"Aetna, Inc.",,/research/US/Job=Application_Developer/Salary/d3463fa0/Aetna-Inc.,3,{'50': 69000},
Trinet,,/research/US/Job=Application_Support_Analyst/Salary/bb21e2c6/Trinet,12,{'50': 63168.85},
