name,displayName,url,profileCount,range,isEstimated
5-9 years,,/research/US/Job=Senior_Data_Quality_Analyst/Salary/6dddfda7/Mid-Career,26,{'50': 81974.62},
10-19 years,,/research/US/Job=Senior_Data_Quality_Analyst/Salary/571d582f/Experienced,19,{'50': 99989.73},
20 years or more,,/research/US/Job=Senior_Data_Quality_Analyst/Salary/93d2ed3c/Late-Career,9,{'50': 98920.02},
Less than 1 year,,/research/US/Job=Senior_Data_Scientist/Salary/5b4cf69c/Entry-Level,67,{'50': 109030.79},
1-4 years,,/research/US/Job=Senior_Data_Scientist/Salary/5b4cf69c/Early-Career,991,{'50': 126949.82},
5-9 years,,/research/US/Job=Senior_Data_Scientist/Salary/47eacf34/Mid-Career,1270,{'50': 136762.93},
10-19 years,,/research/US/Job=Senior_Data_Scientist/Salary/d87969d8/Experienced,429,{'50': 142677.46},
20 years or more,,/research/US/Job=Senior_Data_Scientist/Salary/c8a36a27/Late-Career,62,{'50': 143013.3},
1-4 years,,/research/US/Job=Senior_Database_Administrator_(DBA)/Salary/fb614976/Early-Career,57,{'50': 84439.95},
5-9 years,,/research/US/Job=Senior_Database_Administrator_(DBA)/Salary/9ea6bd00/Mid-Career,257,{'50': 108380},
10-19 years,,/research/US/Job=Senior_Database_Administrator_(DBA)/Salary/860ed3b9/Experienced,724,{'50': 118362.79},
20 years or more,,/research/US/Job=Senior_Database_Administrator_(DBA)/Salary/b062b692/Late-Career,549,{'50': 123423.16},
1-4 years,,/research/US/Job=Senior_Database_Developer/Salary/8eeeb478/Early-Career,15,{'50': 82581.68},
5-9 years,,/research/US/Job=Senior_Database_Developer/Salary/9227b930/Mid-Career,55,{'50': 95806.58},
10-19 years,,/research/US/Job=Senior_Database_Developer/Salary/2457f2fd/Experienced,65,{'50': 103676.8},
20 years or more,,/research/US/Job=Senior_Database_Developer/Salary/00504265/Late-Career,60,{'50': 109190.96},
1-4 years,,/research/US/Job=Senior_Database_Engineer/Salary/0836ae2f/Early-Career,6,{'50': 95948.76},
5-9 years,,/research/US/Job=Senior_Database_Engineer/Salary/ca85eee5/Mid-Career,28,{'50': 112786.27},
10-19 years,,/research/US/Job=Senior_Database_Engineer/Salary/47584640/Experienced,68,{'50': 122063.25},
20 years or more,,/research/US/Job=Senior_Database_Engineer/Salary/c5949c49/Late-Career,28,{'50': 129193.17},
1-4 years,,/research/US/Job=Senior_Development_Operations_(DevOps)_Engineer/Salary/14045b24/Early-Career,17,{'50': 120399.46},
5-9 years,,/research/US/Job=Senior_Development_Operations_(DevOps)_Engineer/Salary/b8747c4a/Mid-Career,16,{'50': 115503.48},
10-19 years,,/research/US/Job=Senior_Development_Operations_(DevOps)_Engineer/Salary/86ba7e73/Experienced,21,{'50': 129523.96},
20 years or more,,/research/US/Job=Senior_Development_Operations_(DevOps)_Engineer/Salary/f2ced137/Late-Career,31,{'50': 125015.73},
1-4 years,,/research/US/Job=Senior_Embedded_Software_Engineer/Salary/3661e521/Early-Career,57,{'50': 110772.16},
5-9 years,,/research/US/Job=Senior_Embedded_Software_Engineer/Salary/b44c2b7c/Mid-Career,211,{'50': 113888.82},
10-19 years,,/research/US/Job=Senior_Embedded_Software_Engineer/Salary/e1a1eea8/Experienced,189,{'50': 126661.72},
20 years or more,,/research/US/Job=Senior_Embedded_Software_Engineer/Salary/29bcbcf4/Late-Career,126,{'50': 131942.19},
1-4 years,,/research/US/Job=Senior_Firmware_Engineer/Salary/40930042/Early-Career,31,{'50': 102568.04},
5-9 years,,/research/US/Job=Senior_Firmware_Engineer/Salary/cf2f916f/Mid-Career,117,{'50': 111212.27},
10-19 years,,/research/US/Job=Senior_Firmware_Engineer/Salary/f439886a/Experienced,96,{'50': 124866.74},
20 years or more,,/research/US/Job=Senior_Firmware_Engineer/Salary/1c2da782/Late-Career,70,{'50': 134753.69},
1-4 years,,/research/US/Job=Senior_Geographic_Information_Systems_(GIS)_Analyst/Salary/c0d987b8/Early-Career,9,{'50': 60354.47},
5-9 years,,/research/US/Job=Senior_Geographic_Information_Systems_(GIS)_Analyst/Salary/6111b19d/Mid-Career,38,{'50': 69137.92},
10-19 years,,/research/US/Job=Senior_Geographic_Information_Systems_(GIS)_Analyst/Salary/df05d4fe/Experienced,47,{'50': 77319.41},
20 years or more,,/research/US/Job=Senior_Geographic_Information_Systems_(GIS)_Analyst/Salary/97a1a72a/Late-Career,14,{'50': 90516.4},
1-4 years,,/research/US/Job=Senior_Information_Technology_(IT)_Manager/Salary/41c96a42/Early-Career,24,{'50': 90600.81},
5-9 years,,/research/US/Job=Senior_Information_Technology_(IT)_Manager/Salary/f9e5aff6/Mid-Career,127,{'50': 115441.88},
10-19 years,,/research/US/Job=Senior_Information_Technology_(IT)_Manager/Salary/61270d00/Experienced,414,{'50': 129134.57},
20 years or more,,/research/US/Job=Senior_Information_Technology_(IT)_Manager/Salary/0e32f858/Late-Career,351,{'50': 135447.28},
1-4 years,,/research/US/Job=Senior_Interactive_Developer/Salary/f9718f80/Early-Career,8,{'50': 82169.52},
5-9 years,,/research/US/Job=Senior_Interactive_Developer/Salary/1cbda9dd/Mid-Career,12,{'50': 91232.88},
10-19 years,,/research/US/Job=Senior_Interactive_Developer/Salary/76e8fd81/Experienced,7,{'50': 100750},
20 years or more,,/research/US/Job=Senior_Interactive_Developer/Salary/a02a2f8a/Late-Career,5,{'50': 85500},
1-4 years,,/research/US/Job=Senior_Interactive_Producer/Salary/71198969/Early-Career,6,{'50': 87743.12},
5-9 years,,/research/US/Job=Senior_Interactive_Producer/Salary/653b41dd/Mid-Career,8,{'50': 80000},
10-19 years,,/research/US/Job=Senior_Interactive_Producer/Salary/39e2528f/Experienced,9,{'50': 116000},
1-4 years,,/research/US/Job=Senior_Internet%2FCommunication_Engineer/Salary/8655c675/Early-Career,2,{'50': 93990.86},
5-9 years,,/research/US/Job=Senior_Internet%2FCommunication_Engineer/Salary/1fc179c0/Mid-Career,5,{'50': 98869.63},
10-19 years,,/research/US/Job=Senior_Internet%2FCommunication_Engineer/Salary/6752787b/Experienced,6,{'50': 129715.57},
1-4 years,,/research/US/Job=Senior_Java_Developer/Salary/a8db12e9/Early-Career,36,{'50': 97241.83},
5-9 years,,/research/US/Job=Senior_Java_Developer/Salary/1629faff/Mid-Career,215,{'50': 109614.43},
10-19 years,,/research/US/Job=Senior_Java_Developer/Salary/f3e12445/Experienced,331,{'50': 120769.06},
20 years or more,,/research/US/Job=Senior_Java_Developer/Salary/1b4ebc15/Late-Career,78,{'50': 128715.04},
1-4 years,,/research/US/Job=Senior_Level_and_Layout_Designer/Salary/aa9f16e0/Early-Career,6,{'50': 71500},
10-19 years,,/research/US/Job=Senior_Level_and_Layout_Designer/Salary/c5ffeae2/Experienced,15,{'50': 91024.8},
20 years or more,,/research/US/Job=Senior_Level_and_Layout_Designer/Salary/8eeb7ea7/Late-Career,6,{'50': 102408.51},
1-4 years,,/research/US/Job=Senior_Manager%2C_Business_Analytics/Salary/6e61d0c0/Early-Career,29,{'50': 112680.79},
5-9 years,,/research/US/Job=Senior_Manager%2C_Business_Analytics/Salary/594ce8f2/Mid-Career,227,{'50': 128309.03},
10-19 years,,/research/US/Job=Senior_Manager%2C_Business_Analytics/Salary/446699e4/Experienced,269,{'50': 136686.83},
20 years or more,,/research/US/Job=Senior_Manager%2C_Business_Analytics/Salary/afc0f45c/Late-Career,55,{'50': 132134.5},
1-4 years,,/research/US/Job=Senior_Mobile_Developer/Salary/a01e280b/Early-Career,11,{'50': 96698.29},
5-9 years,,/research/US/Job=Senior_Mobile_Developer/Salary/565f4c4a/Mid-Career,27,{'50': 119189.28},
10-19 years,,/research/US/Job=Senior_Mobile_Developer/Salary/8b6f82a1/Experienced,15,{'50': 123974.82},
20 years or more,,/research/US/Job=Senior_Mobile_Developer/Salary/346632f9/Late-Career,9,{'50': 131690.86},
1-4 years,,/research/US/Job=Senior_Mobile_Engineer/Salary/f08fd059/Early-Career,8,{'50': 108210.02},
5-9 years,,/research/US/Job=Senior_Mobile_Engineer/Salary/d09dba92/Mid-Career,34,{'50': 126945.47},
10-19 years,,/research/US/Job=Senior_Mobile_Engineer/Salary/fa0d0fcd/Experienced,15,{'50': 127450.98},
1-4 years,,/research/US/Job=Senior_Mobile_Software_Engineer/Salary/dc931525/Early-Career,5,{'50': 110000},
5-9 years,,/research/US/Job=Senior_Mobile_Software_Engineer/Salary/7eb3ffaf/Mid-Career,5,{'50': 121049.5},
10-19 years,,/research/US/Job=Senior_Mobile_Software_Engineer/Salary/6ddbb518/Experienced,5,{'50': 123870.97},
