name,job_title,median_salary,profile_count
Lockheed Martin Information Technology,Associate_Software_Engineer,66527.64,8
"Rockwell Automation, Inc.",Associate_Software_Engineer,75000.0,8
Skyward,Associate_Software_Engineer,51419.19,8
Infosys International,Associate_Software_Engineer,56513.52,8
Dealersocket,Associate_Software_Engineer,64340.98,8
"Allscripts, Inc.",Associate_Software_Engineer,70590.37,8
Asrc Federal Holding Company,Associate_Software_Engineer,64054.12,8
T. Rowe Price Group,Associate_Software_Engineer,88500.0,8
"Workday, Inc.",Associate_Software_Engineer,96972.81,8
Verint Systems Inc.,Associate_Software_Engineer,71250.0,7
Vizient,Associate_Software_Engineer,61379.28,7
The Boeing Company,Associate_Software_Engineer,90500.0,7
AT&T Inc.,Associate_Software_Engineer,66666.39,7
Allscripts Healthcare Solutions,Associate_Software_Engineer,60000.0,7
Cognizant,Associate_Software_Engineer,76000.0,7
"J.B. Hunt Transport, Inc.",Associate_Software_Engineer,67671.59,7
"Infor, Inc.",Associate_Software_Engineer,65412.99,7
Sapient Corporation,Associate_Software_Engineer,72867.5,7
Morgan Stanley,Associate_Software_Engineer,121356.44,7
Liberty Mutual Insurance Group,Associate_Software_Engineer,77342.79,7
"Medtronic, Inc.",Associate_Software_Engineer,72000.0,7
Leidos,Associate_Software_Engineer,69634.27,6
"Morningstar, Inc.",Associate_Software_Engineer,75000.0,6
"Rockwell Collins, Inc.",Associate_Software_Engineer,74836.47,6
REZ-1,Associate_Software_Engineer,91454.41,6
Southwest Airlines Co,Associate_Software_Engineer,71114.62,6
ScienceLogic,Associate_Software_Engineer,70498.72,6
ServiceNow,Associate_Software_Engineer,100000.0,6
Dycom Industries Inc,Associate_Software_Engineer,60000.0,6
General Dynamics Information Technology Inc,Associate_Software_Engineer,63712.03,6
General Motors Corporation,Associate_Software_Engineer,78000.0,6
"Bottomline Technologies, Inc.",Associate_Software_Engineer,65000.0,6
Cubic Corporation,,,6
"Costar Group, Inc.",Associate_Software_Engineer,97435.9,6
Cerner Corporation,Associate_Software_Engineer,76841.03,6
"Blackrock, Inc.",Associate_Software_Engineer,105000.0,5
CSRA Inc.,Associate_Software_Engineer,57391.3,5
Cognizant Technology Solutions Corp,Associate_Software_Engineer,66819.19,5
Accenture Technology Solutions,Associate_Software_Engineer,49500.0,5
"Automatic Data Processing, Inc. (ADP)",Associate_Software_Engineer,81346.64,5
Amadeus,Associate_Software_Engineer,78600.95,5
American Specialty Health (ASH),Associate_Software_Engineer,65000.0,5
"Ensco, Inc.",Associate_Software_Engineer,48775.0,5
Evolent Health LLC,Associate_Software_Engineer,67249.17,5
"HCL America, Inc.",Associate_Software_Engineer,44004.48,5
iRobot Corporation,Associate_Software_Engineer,86067.22,5
"Schweitzer Engineering Laboratories, Inc.",Associate_Software_Engineer,68839.51,5
Science Applications International Corporation (SAIC),Associate_Software_Engineer,70000.0,5
"Salesforce.com, Inc.",Associate_Software_Engineer,112433.47,5
Kohl's Department Stores Inc,Associate_Software_Engineer,62840.2,5
L-3 Communications,Associate_Software_Engineer,74836.47,5
Microstrategy Incorporated,Associate_Software_Engineer,79507.73,5
Moody's Investors Service,Associate_Software_Engineer,98453.35,5
"Maximus, Inc.",Associate_Software_Engineer,60000.0,5
"Red Ventures, Inc.",Associate_Software_Engineer,73000.0,5
"The Mathworks, Inc.",Associate_Software_Engineer,92580.2,5
"Universal Health Services, Inc.",Associate_Software_Engineer,61445.11,5
UTC Aerospace Systems,Associate_Software_Engineer,73612.63,5
Emory University,Biostatistician,82291.96,14
"Florida Hospital ,Orlando Florida",Biostatistician,79000.0,14
Leidos,Biostatistician,81987.8,12
The EMMES Corporation,Biostatistician,84000.0,11
Stanford University,Biostatistician,89469.25,10
Kaiser Permanente,Biostatistician,82014.39,8
Johns Hopkins University,Biostatistician,76302.36,7
Johnson & Johnson,,,7
Massachusetts General Hospital,Biostatistician,64861.54,7
Medical College of Wisconsin,Biostatistician,62000.0,7
University of Miami School of Medicine,Biostatistician,63767.59,7
Zoll Medical Corporation,Biostatistician,130000.0,7
University of Wisconsin (UW) - Madison,Biostatistician,57500.0,6
Duke University Medical Center,Biostatistician,93497.33,6
IQVIA,Biostatistician,76339.87,5
Axio Research Corporation,Biostatistician,75847.78,5
