name,job_title,median_salary,profile_count
React.js,Application_Developer,77200.22,143
VB.Net,Application_Developer,63695.47,133
PHP,Application_Developer,66492.25,103
Angular,Application_Developer,81732.42,101
HTML,Application_Developer,74346.63,84
ASP.NET Framework,Application_Developer,67089.83,68
Spring,Application_Developer,75420.82,63
C++ Programming Language,Application_Developer,64890.92,53
Oracle,Application_Developer,73106.34,50
Node.js,Application_Developer,80364.03,48
Angular.js,Application_Developer,74098.09,48
PL/SQL,Application_Developer,79755.48,45
MySQL,Application_Developer,74500.0,43
Amazon Web Services (AWS),Application_Developer,91191.18,40
Linux,Application_Developer,69752.94,39
TypeScript Programming Language,Application_Developer,82199.21,33
UNIX,Application_Developer,63288.56,30
Ruby on Rails,Application_Developer,76341.55,27
RPGLE,Application_Developer,85489.26,24
Model-view-controller (MVC),Application_Developer,68561.27,24
Cascading Style Sheets (CSS),Application_Developer,72832.66,23
Asynchronous Javascript and XML (Ajax) Web Development,Application_Developer,71388.56,22
HTML5,Application_Developer,67090.56,22
Salesforce,Application_Developer,71215.54,21
Mainframe,Application_Developer,68500.0,19
Microsoft Azure,Application_Developer,79594.0,19
COBOL,Application_Developer,76666.23,19
Data Analysis,Application_Developer,77686.98,18
Microsoft Sharepoint Server,Application_Developer,75505.08,18
Oracle SQL Developer,Application_Developer,73320.94,18
Visual Basic (VB),Application_Developer,80951.43,18
Transact-SQL,Application_Developer,67125.57,18
Swift Programming Language,Application_Developer,73500.0,17
Objective-C,Application_Developer,64980.42,17
eXtensible Markup Language (XML),Application_Developer,57699.28,17
Hibernate,Application_Developer,80895.06,15
MongoDB,Application_Developer,65496.18,15
Informatica,Application_Developer,76711.09,14
iOS,Application_Developer,77000.0,14
Application Development,Application_Developer,59547.59,14
Business Intelligence,Application_Developer,76678.41,13
Adobe Coldfusion,Application_Developer,75000.0,13
Apache Maven,Application_Developer,68811.79,13
Web Development,Application_Developer,63567.48,13
Android Software Development Kit (SDK),Application_Developer,69518.3,12
Bootstrap,Application_Developer,60039.31,12
Object Oriented Programming (OOP),Application_Developer,76873.56,12
Job Control Language (JCL),Application_Developer,73676.0,12
jQuery,Application_Developer,79549.82,12
PostgreSQL,Application_Developer,75387.84,12
Perl,Application_Developer,63723.38,12
Problem Solving,Application_Developer,64500.0,12
Project Management,Application_Developer,75847.78,11
Express (Node.js),Application_Developer,73193.62,11
EDI,Application_Developer,72000.0,10
IBM DB2,Application_Developer,88672.5,10
FileMaker Pro,Application_Developer,63871.29,10
Agile Software Development,Application_Developer,86500.0,10
VBA,Application_Developer,61015.74,10
.NET Core,Application_Developer,85882.83,9
Clojure Programming Language,Application_Developer,56997.81,9
Apex,Application_Developer,70150.03,9
RESTful Web Services,Application_Developer,75777.13,9
Robotic Process Automation (RPA),Application_Developer,68163.44,9
Software Development,Application_Developer,87000.0,9
Kotlin Programming Language,Application_Developer,75924.88,9
Machine Learning,Application_Developer,75000.0,9
Microsoft Power BI,Application_Developer,80000.0,9
Oracle eBusiness Suite,Application_Developer,99500.0,8
SAP ABAP,Application_Developer,80000.0,8
SAS,Application_Developer,70911.97,8
Service Oriented Architecture (SOA),Application_Developer,60000.0,8
Eclipse Java IDE,Application_Developer,96250.0,8
Epic Systems,Application_Developer,68985.51,8
